theta1x,theta1y,theta1z,theta2x,theta2y,theta2z,dq1_max[deg],dq1_mean[deg],dq2_max[deg],dq2_mean[deg]
0.0,0.0,-20.0,0.0,0.0,0.0,8.249654289642855,1.7428294696058662,3.0753317083655727,0.5238668583371885
0.0,0.0,-19.0,0.0,0.0,0.0,7.302828600484233,1.524231796381006,2.6429434223649153,0.4563482607149475
0.0,0.0,-18.0,0.0,0.0,0.0,6.414929863170265,1.3193565508590963,2.221578748975613,0.39086212883037863
0.0,0.0,-17.0,0.0,0.0,0.0,5.584797056913494,1.1280174109383476,1.8136081949054468,0.32769725850417625
0.0,0.0,-16.0,0.0,0.0,0.0,4.812832156943429,0.9612115924018168,1.5049211073808522,0.2752687098477544
0.0,0.0,-15.0,0.0,0.0,0.0,4.0979239565695735,0.8123894321049338,1.2753755024758533,0.23051152793265264
0.0,0.0,-14.0,0.0,0.0,0.0,3.440062831620523,0.6774997005002893,1.0665204552900462,0.19069321004360898
0.0,0.0,-13.0,0.0,0.0,0.0,2.8384388294006015,0.5558759226659473,0.8772552922637686,0.1554866050581735
0.0,0.0,-12.0,0.0,0.0,0.0,2.292811553624759,0.4466947931976591,0.7065075409707475,0.12426951195859455
0.0,0.0,-11.0,0.0,0.0,0.0,1.8027750832174405,0.349561741596753,0.5539137061794577,0.0968212894276065
0.0,0.0,-10.0,0.0,0.0,0.0,1.367894958793812,0.2640744799945128,0.4189164299016568,0.07285748108766762
0.0,0.0,-9.0,0.0,0.0,0.0,0.9879184337596172,0.1898836748635945,0.3012446916627738,0.05220845460178534
0.0,0.0,-8.0,0.0,0.0,0.0,0.6624753522684301,0.12664592790474613,0.2005582227142071,0.03468776219858781
0.0,0.0,-7.0,0.0,0.0,0.0,0.3914745644707125,0.07422833081724883,0.11690048660042862,0.020253858975930114
0.0,0.0,-6.0,0.0,0.0,0.0,0.17481693426454825,0.03242713336434959,0.050075231160334965,0.008804425427148046
0.0,0.0,-5.0,0.0,0.0,0.0,0.0173305810600084,0.0024772185463874568,0.002429599699780738,0.00039543633042543277
0.0,0.0,-4.0,0.0,0.0,0.0,0.09981203319175336,0.019793432723395416,0.03327189893313687,0.005368681033774625
0.0,0.0,-3.0,0.0,0.0,0.0,0.1549579409344659,0.030315333554545368,0.04993271908638519,0.008224018244601545
0.0,0.0,-2.0,0.0,0.0,0.0,0.15686595022495453,0.03053223526865478,0.049942909375104705,0.008283161303558146
0.0,0.0,-1.0,0.0,0.0,0.0,0.10524742553988631,0.02043662240925933,0.033301878011684494,0.005546010568160765
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.1589764463649459,0.030846161325781822,0.05001060555670733,0.008390794881076014
0.0,0.0,2.0,0.0,0.0,0.0,0.371813211482376,0.07220663412759258,0.11682261857332321,0.019722321221960187
0.0,0.0,3.0,0.0,0.0,0.0,0.6386832643385105,0.12417075176681333,0.20047183657858625,0.03403884542329119
0.0,0.0,4.0,0.0,0.0,0.0,0.9597958213980036,0.18695222348733828,0.301155388646265,0.05144286952511238
0.0,0.0,5.0,0.0,0.0,0.0,1.3353894665268058,0.2606719948644077,0.4188332172754343,0.07197660347360937
0.0,0.0,6.0,0.0,0.0,0.0,1.7657237574741202,0.3456803798210494,0.5538491218732418,0.09582784272766032
0.0,0.0,7.0,0.0,0.0,0.0,2.251167947193693,0.44233567463418705,0.7064787378194382,0.12316847714620195
0.0,0.0,8.0,0.0,0.0,0.0,2.7921540389366584,0.5510179428668284,0.8772771450686179,0.15427958410809595
0.0,0.0,9.0,0.0,0.0,0.0,3.38887938909113,0.6721526407411619,1.0666359659825986,0.18939308237318225
0.0,0.0,10.0,0.0,0.0,0.0,4.041804910345917,0.8065292816642985,1.2756157109971724,0.22912544786353842
0.0,0.0,11.0,0.0,0.0,0.0,4.751725035552333,0.9548521708580182,1.505370796188373,0.273822373118221
0.0,0.0,12.0,0.0,0.0,0.0,5.518450685483714,1.1213858754644805,1.8077806160055854,0.3263720749150778
0.0,0.0,13.0,0.0,0.0,0.0,6.342940595174724,1.31211720652386,2.2150041730952044,0.3894249146560955
0.0,0.0,14.0,0.0,0.0,0.0,7.225221504588191,1.5163502000725155,2.635595383874774,0.4547948333260371
0.0,0.0,15.0,0.0,0.0,0.0,8.166067960282838,1.7342686029536125,3.067169075948039,0.5221971713582029
0.0,0.0,16.0,0.0,0.0,0.0,9.165893784478541,1.9660940984271411,3.5074772319314658,0.5913308599792804
0.0,0.0,17.0,0.0,0.0,0.0,10.225146688312044,2.2119814755026908,3.9543133828087846,0.661866673775405
0.0,0.0,18.0,0.0,0.0,0.0,11.34414566633194,2.4720679720724403,4.405507037724423,0.7335867004489409
0.0,0.0,19.0,0.0,0.0,0.0,12.523404474109725,2.7463770574864794,4.858814955522323,0.8062023724873771
