Tx[m],Ty[m],Tz[m],dq1_max[deg],dq1_mean[deg],dq2_max[deg],dq2_mean[deg]
0.0,-0.1,0.0,0.0,0.0,0.0,0.0
0.0,-0.09,0.0,0.0,0.0,0.0,0.0
0.0,-0.08,0.0,0.0,0.0,0.0,0.0
0.0,-0.07,0.0,0.0,0.0,0.0,0.0
0.0,-0.06,0.0,0.0,0.0,0.0,0.0
0.0,-0.05,0.0,0.0,0.0,0.0,0.0
0.0,-0.04,0.0,0.0,0.0,0.0,0.0
0.0,-0.03,0.0,0.0,0.0,0.0,0.0
0.0,-0.02,0.0,0.0,0.0,0.0,0.0
0.0,-0.01,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.01,0.0,0.0,0.0,0.0,0.0
0.0,0.02,0.0,0.0,0.0,0.0,0.0
0.0,0.03,0.0,0.0,0.0,0.0,0.0
0.0,0.04,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.0,0.0,0.0,0.0,0.0
0.0,0.06,0.0,0.0,0.0,0.0,0.0
0.0,0.07,0.0,0.0,0.0,0.0,0.0
0.0,0.08,0.0,0.0,0.0,0.0,0.0
0.0,0.09,0.0,0.0,0.0,0.0,0.0
0.0,0.1,0.0,0.0,0.0,0.0,0.0
